/I_135/OUTA X,/I_135/OUTA Y,/I_270/OUTA X,/I_270/OUTA Y,/I_405/OUTA X,/I_405/OUTA Y,/I_540/OUTA X,/I_540/OUTA Y,/I_675/OUTA X,/I_675/OUTA Y,/I_810/OUTA X,/I_810/OUTA Y,/I_945/OUTA X,/I_945/OUTA Y,/I_1080/OUTA X,/I_1080/OUTA Y,/I_1215/OUTA X,/I_1215/OUTA Y,/I_1350/OUTA X,/I_1350/OUTA Y,/I_135/IN X,/I_135/IN Y
0.0002354005270392878,5.423399897331898e-11,0.0002354005270392878,4.231255505458432e-11,0.0002354005270392878,4.746652062114731e-11,0.0002354005270392878,5.506334452667081e-11,0.0002354005270392878,6.45002370680964e-11,0.0002354005270392878,7.335414283390307e-11,0.0002354005270392878,8.161845631110577e-11,0.0002354005270392878,8.935130724307782e-11,0.0002354005270392878,9.657136275594477e-11,0.0002354005270392878,1.033410752084462e-10,0.0002354005270392878,-1.058397891842849e-10
0.0002454005270392878,5.43508037492826e-11,0.0002454005270392878,4.240626825791655e-11,0.0002454005270392878,4.756927677175654e-11,0.0002454005270392878,5.517910218322342e-11,0.0002454005270392878,6.463096312125694e-11,0.0002454005270392878,7.34976475211546e-11,0.0002454005270392878,8.177279177352813e-11,0.0002454005270392878,8.951481604427913e-11,0.0002454005270392878,9.674254500099266e-11,0.0002454005270392878,1.035186443207599e-10,0.0002454005270392878,-1.018397891842849e-10
0.0002554005270392878,5.447511636727238e-11,0.0002554005270392878,4.250602043570465e-11,0.0002554005270392878,4.767864334732958e-11,0.0002554005270392878,5.530228929901164e-11,0.0002554005270392878,6.477005730674162e-11,0.0002554005270392878,7.365031360999839e-11,0.0002554005270392878,8.193695487677062e-11,0.0002554005270392878,8.968871285864006e-11,0.0002554005270392878,9.69245782711218e-11,0.0002554005270392878,1.037074446670406e-10,0.0002554005270392878,-9.783978918428488e-11
0.0002654005270392879,5.460771937503498e-11,0.0002654005270392879,4.261244259927755e-11,0.0002654005270392879,4.779530995719934e-11,0.0002654005270392879,5.543367921125172e-11,0.0002654005270392879,6.491838849051304e-11,0.0002654005270392879,7.381308990386095e-11,0.0002654005270392879,8.211196095872418e-11,0.0002654005270392879,8.987406859703616e-11,0.0002654005270392879,9.711857882851643e-11,0.0002654005270392879,1.039086292227127e-10,0.0002654005270392879,-9.383978918428486e-11
0.0002754005270392879,5.474950793932958e-11,0.0002754005270392879,4.27262568211941e-11,0.0002754005270392879,4.792006558163951e-11,0.0002754005270392879,5.557415646231563e-11,0.0002754005270392879,6.507695016323258e-11,0.0002754005270392879,7.39870609596098e-11,0.0002754005270392879,8.229897029110213e-11,0.0002754005270392879,9.007210670490964e-11,0.0002754005270392879,9.732582160308127e-11,0.0002754005270392879,1.041235144054605e-10,0.0002754005270392879,-8.983978918428484e-11
0.0002854005270392879,5.490151166517895e-11,0.0002854005270392879,4.284829389815637e-11,0.0002854005270392879,4.805381779337144e-11,0.0002854005270392879,5.572473823257626e-11,0.0002854005270392879,6.524688439371673e-11,0.0002854005270392879,7.417347308876511e-11,0.0002854005270392879,8.249931574271567e-11,0.0002854005270392879,9.028423220361452e-11,0.0002854005270392879,9.754777031025962e-11,0.0002854005270392879,1.043536112202593e-10,0.0002854005270392879,-8.583978918428485e-11
0.0002954005270392879,5.506492182173181e-11,0.0002954005270392879,4.297951543104107e-11,0.0002954005270392879,4.819761680297664e-11,0.0002954005270392879,5.588660117838169e-11,0.0002954005270392879,6.542951181956797e-11,0.0002954005270392879,7.437376692432828e-11,0.0002954005270392879,8.271453745064996e-11,0.0002954005270392879,9.051206808911649e-11,0.0002954005270392879,9.778611522070902e-11,0.0002954005270392879,1.046006640504134e-10,0.0002954005270392879,-8.183978918428483e-11
0.000305400527039288,5.5241124596247e-11,0.000305400527039288,4.312104081491612e-11,0.000305400527039288,4.835268485162827e-11,0.000305400527039288,5.606111422488277e-11,0.000305400527039288,6.562636826822079e-11,0.000305400527039288,7.458961717648514e-11,0.000305400527039288,8.294642512447763e-11,0.000305400527039288,9.075749972176028e-11,0.000305400527039288,9.804281920045935e-11,0.000305400527039288,1.04866697961329e-10,0.000305400527039288,-7.783978918428482e-11
0.000315400527039288,5.543174247895859e-11,0.000315400527039288,4.327418085010219e-11,0.000315400527039288,4.852045278803847e-11,0.000315400527039288,5.624987935003431e-11,0.000315400527039288,6.583925026648667e-11,0.000315400527039288,7.482298199313325e-11,0.000315400527039288,8.319707053149075e-11,0.000315400527039288,9.102272986504122e-11,0.000315400527039288,9.832017476064656e-11,0.000315400527039288,1.051540773029121e-10,0.000315400527039288,-7.38397891842848e-11
0.000325400527039288,5.563868649742724e-11,0.000325400527039288,4.344048019075233e-11,0.000325400527039288,4.870260624641821e-11,0.000325400527039288,5.645478303131159e-11,0.000325400527039288,6.607027241390727e-11,0.000325400527039288,7.507616514274112e-11,0.000325400527039288,8.346893356992935e-11,0.000325400527039288,9.131034792885457e-11,0.000325400527039288,9.862087578569202e-11,0.000325400527039288,1.054655793549542e-10,0.000325400527039288,-6.983978918428479e-11
0.000335400527039288,5.586422273509628e-11,0.000335400527039288,4.362177144886976e-11,0.000335400527039288,4.890114447630359e-11,0.000335400527039288,5.667806175661496e-11,0.000335400527039288,6.632194037624214e-11,0.000335400527039288,7.535189507121544e-11,0.000335400527039288,8.376492621306995e-11,0.000335400527039288,9.16234178861157e-11,0.000335400527039288,9.894810855117493e-11,0.000335400527039288,1.058044877227314e-10,0.000335400527039288,-6.583978918428478e-11
