/I_60/OUT X,/I_60/OUT Y,/I_120/OUT X,/I_120/OUT Y,/I_180/OUT X,/I_180/OUT Y,/I_240/OUT X,/I_240/OUT Y,/I_600/OUT X,/I_600/OUT Y,/I_540/OUT X,/I_540/OUT Y,/I_480/OUT X,/I_480/OUT Y,/I_420/OUT X,/I_420/OUT Y,/I_360/OUT X,/I_360/OUT Y,/net7 X,/net7 Y,/I_300/OUT X,/I_300/OUT Y
0.0003469215855471713,1.419277220236425e-11,0.0003469215855471713,1.626715035974071e-11,0.0003469215855471713,1.023842460370248e-11,0.0003469215855471713,8.333894461121992e-12,0.0003469215855471713,1.531628863205645e-11,0.0003469215855471713,1.354837945113398e-11,0.0003469215855471713,1.192041731188794e-11,0.0003469215855471713,1.020631454211027e-11,0.0003469215855471713,9.045748827430872e-12,0.0003469215855471713,0.03061568289056574,0.0003469215855471713,8.299132002649359e-12
0.0003569215855471714,1.310309746148014e-11,0.0003569215855471714,1.535550466015658e-11,0.0003569215855471714,9.599824590424538e-12,0.0003569215855471714,7.810676966657222e-12,0.0003569215855471714,1.495959133861061e-11,0.0003569215855471714,1.317499657110603e-11,0.0003569215855471714,1.153023628101734e-11,0.0003569215855471714,9.796302128262366e-12,0.0003569215855471714,8.612966307218624e-12,0.0003569215855471714,0.02861568289056574,0.0003569215855471714,7.833042552404256e-12
0.0003669215855471714,1.20197171969891e-11,0.0003669215855471714,1.444834062213933e-11,0.0003669215855471714,8.962381488480355e-12,0.0003669215855471714,7.286807131016543e-12,0.0003669215855471714,1.46011332149395e-11,0.0003669215855471714,1.27996530168063e-11,0.0003669215855471714,1.113800310801182e-11,0.0003669215855471714,9.38423111167192e-12,0.0003669215855471714,8.178299554725644e-12,0.0003669215855471714,0.02661568289056573,0.0003669215855471714,7.365466567096926e-12
0.0003769215855471714,1.094295964029919e-11,0.0003769215855471714,1.354578178340615e-11,0.0003769215855471714,8.325991202070211e-12,0.0003769215855471714,6.762146011217454e-12,0.0003769215855471714,1.424075991859386e-11,0.0003769215855471714,1.242219513754344e-11,0.0003769215855471714,1.074356606501429e-11,0.0003769215855471714,8.969952035969429e-12,0.0003769215855471714,7.74160082560145e-12,0.0003769215855471714,0.02461568289056572,0.0003769215855471714,6.896258366943596e-12
0.0003869215855471714,9.873086635994123e-12,0.0003869215855471714,1.264792103886437e-11,0.0003869215855471714,7.690532063067234e-12,0.0003869215855471714,6.236542744913365e-12,0.0003869215855471714,1.387830935372559e-11,0.0003869215855471714,1.204246186431153e-11,0.0003869215855471714,1.034676613137776e-11,0.0003869215855471714,8.553307962837488e-12,0.0003869215855471714,7.302714172034406e-12,0.0003869215855471714,0.02261568289056572,0.0003869215855471714,6.425262831386033e-12
0.0003969215855471715,8.810289036911001e-12,0.0003969215855471715,1.175482170825352e-11,0.0003969215855471715,7.05586656731583e-12,0.0003969215855471715,5.709836140000643e-12,0.0003969215855471715,1.351361300222325e-11,0.0003969215855471715,1.166028610376807e-11,0.0003969215855471715,9.947438430405282e-12,0.0003969215855471715,8.13413593091916e-12,0.0003969215855471715,6.861476956928992e-12,0.0003969215855471715,0.0206156828905657,0.0003969215855471715,5.952316894346236e-12
0.0004069215855471715,7.754681933338853e-12,0.0004069215855471715,1.086651827867888e-11,0.0004069215855471715,6.421842959744661e-12,0.0004069215855471715,5.181856205743161e-12,0.0004069215855471715,1.314649725325598e-11,0.0004069215855471715,1.127549613173562e-11,0.0004069215855471715,9.545413654312463e-12,0.0004069215855471715,7.712268395668109e-12,0.0004069215855471715,6.417721285424575e-12,0.0004069215855471715,0.01861568289056571,0.0004069215855471715,5.477250998896331e-12
0.0004169215855471715,6.706300132362875e-12,0.0004169215855471715,9.9830168003181e-12,0.0004169215855471715,5.788296854747284e-12,0.0004169215855471715,4.652425597623561e-12,0.0004169215855471715,1.277678472552499e-11,0.0004169215855471715,1.088791697264777e-11,0.0004169215855471715,9.140519467898406e-12,0.0004169215855471715,7.287534576660385e-12,0.0004169215855471715,5.97127538046368e-12,0.0004169215855471715,0.0166156828905657,0.0004169215855471715,4.999890488119761e-12
0.0004269215855471715,5.665093535742946e-12,0.0004269215855471715,9.104294959744212e-12,0.0004269215855471715,5.155052584317811e-12,0.0004269215855471715,4.121360977867595e-12,0.0004269215855471715,1.240429558421457e-11,0.0004269215855471715,1.049737176692513e-11,0.0004269215855471715,8.732581889179611e-12,0.0004269215855471715,6.859761860651556e-12,0.0004269215855471715,5.521964914102787e-12,0.0004269215855471715,0.0146156828905657,0.0004269215855471715,4.520056929758318e-12
0.0004369215855471716,4.630924160541409e-12,0.0004369215855471716,8.230301891087694e-12,0.0004369215855471716,4.521924476893637e-12,0.0004369215855471716,3.588474306301655e-12,0.0004369215855471716,1.202884886192667e-11,0.0004369215855471716,1.010368313644529e-11,0.0004369215855471716,8.321426656600421e-12,0.0004369215855471716,6.428777124536296e-12,0.0004369215855471716,5.069614297914092e-12,0.0004369215855471716,0.01261568289056568,0.0004369215855471716,4.037569388488718e-12
